tax_id,Order,Family,Species,Density_log10,SD_log10,Q2.5_log10,Q5_log10,Q25_log10,Q75_log10,Q95_log10,Q97.5_log10,Predicted_Density_n_km2,Q2.5,Q5,Q25,Q75,Q95,Q97.5
22691524,Columbiformes,Columbidae,Ptilinopus_eugeniae,1.282471344,0.516502087,0.290542564,0.45142379,0.915562095,1.637174284,2.136255596,2.300801263,19.163,1.952,2.828,8.233,43.368,136.853,199.895
22728038,Columbiformes,Columbidae,Ptilinopus_fischeri,1.13518855,0.515227856,0.123288576,0.280034185,0.78733535,1.48540552,1.976998405,2.138537654,13.652,1.328,1.906,6.128,30.578,94.841,137.574
22691539,Columbiformes,Columbidae,Ptilinopus_granulifrons,1.239391727,0.506285847,0.248971754,0.409732128,0.899256026,1.586483727,2.059124158,2.199495077,17.354,1.774,2.569,7.93,38.591,114.584,158.305
22691440,Columbiformes,Columbidae,Ptilinopus_greyii,1.175904807,0.520125704,0.165217983,0.328315485,0.823760429,1.528384057,2.032566632,2.192185085,14.994,1.463,2.13,6.664,33.759,107.787,155.663
22691470,Columbiformes,Columbidae,Ptilinopus_huttoni,1.158644138,0.526091685,0.107175984,0.280930642,0.825498497,1.503584319,2.020974655,2.186157279,14.409,1.28,1.91,6.691,31.885,104.948,153.517
22691529,Columbiformes,Columbidae,Ptilinopus_hyogastrus,1.241593171,0.521907478,0.220873615,0.377249559,0.889064843,1.597574492,2.099402302,2.249809288,17.442,1.663,2.384,7.746,39.589,125.719,177.75
22691549,Columbiformes,Columbidae,Ptilinopus_insolitus,1.237806525,0.516358162,0.230210221,0.396320081,0.886449249,1.591755399,2.080798231,2.258284943,17.29,1.699,2.491,7.699,39.062,120.448,181.253
22691490,Columbiformes,Columbidae,Ptilinopus_insularis,1.125876912,0.516152932,0.122405288,0.270434792,0.79139636,1.478129478,1.958428535,2.131275442,13.362,1.326,1.864,6.186,30.07,90.872,135.293
22691544,Columbiformes,Columbidae,Ptilinopus_iozonus,1.226876801,0.51693287,0.218294023,0.378503518,0.878880954,1.575089014,2.076361147,2.238645515,16.861,1.653,2.391,7.566,37.591,119.223,173.239
22691341,Columbiformes,Columbidae,Ptilinopus_jambu,1.008640683,0.542642217,-0.051847023,0.117522041,0.643031915,1.374552408,1.900109623,2.070879294,10.201,0.887,1.311,4.396,23.689,79.453,117.728
22691581,Columbiformes,Columbidae,Ptilinopus_layardi,1.273135928,0.513544609,0.276069556,0.439460454,0.919637801,1.610937851,2.125059433,2.282303823,18.756,1.888,2.751,8.311,40.826,133.37,191.56
22691346,Columbiformes,Columbidae,Ptilinopus_leclancheri,1.169740856,0.515831454,0.157359251,0.322118808,0.821074181,1.516036037,2.017271856,2.17856098,14.782,1.437,2.1,6.623,32.812,104.057,150.855
22691577,Columbiformes,Columbidae,Ptilinopus_luteovirens,1.275803194,0.509650399,0.309340751,0.450968334,0.928530684,1.616261909,2.130565217,2.288841007,18.871,2.039,2.825,8.483,41.33,135.072,194.465
