COMMON_NAME,area_square_miles,Estimate,Lower,Upper
Baird's Junco,1852.828821,6250,2500,9999
Mussau Triller,131.5555784,6250,2500,9999
Wallace's Hanging-Parrot,547.3706615,6250,2500,9999
Macgregor's Honeyeater,1800.899663,6250,2500,9999
White-naped Tit,27666.80762,6250,2500,9999
Madanga,526.4097544,6250,2500,9999
Green-breasted Bushshrike,2765.067413,6250,2500,9999
Vanuatu Scrubfowl,2491.173351,6250,2500,9999
Long-bearded Melidectes,1967.060096,6250,2500,9999
Brown Mesite,14350.59997,6250,2500,9999
Ash's Lark,654.9014312,6250,2500,9999
Rufous Flycatcher,1465.001784,6250,2500,9999
Fearful Owl,5063.752577,6250,2500,9999
New Zealand Kaka,27459.81033,6250,2500,9999
Red-tailed Newtonia,32477.64692,6250,2500,9999
Andaman Boobook,2183.48712,6250,2500,9999
Cinnabar Boobook,1422.543214,6250,2500,9999
Mindoro Boobook,3804.746577,6250,2500,9999
Chestnut Wood-Quail,23354.93408,6250,2500,9999
Gorgeted Wood-Quail,1475.581919,6250,2500,9999
Bernier's Vanga,7002.271866,6250,2500,9999
Sao Tome Oriole,185.9802321,6250,2500,9999
Nicobar Scops-Owl,385.4450442,6250,2500,9999
Biak Scops-Owl,974.6218101,6250,2500,9999
Enggano Scops-Owl,154.7505157,6250,2500,9999
Giant Scops-Owl,41736.64087,6250,2500,9999
Sokoke Scops-Owl,245.0908052,6250,2500,9999
Rinjani Scops-Owl,818.9500902,6250,2500,9999
White-fronted Scops-Owl,57294.70935,6250,2500,9999
Wahnes's Parotia,1644.930257,6250,2500,9999
Ring-tailed Pigeon,2743.602575,6250,2500,9999
Sichuan Jay,55344.93479,6250,2500,9999
Red-faced Malkoha,14115.52552,6250,2500,9999
Dusky Friarbird,881.8799409,6250,2500,9999
Congo Bay-Owl,1799.932843,6250,2500,9999
Yungas Tyrannulet,5418.548859,6250,2500,9999
Bahia Tyrannulet,889.8768983,6250,2500,9999
Restinga Tyrannulet,2115.595849,6250,2500,9999
Black-capped Piprites,17412.00787,6250,2500,9999
Banded Wattle-eye,717.6039865,6250,2500,9999
