"","Species2_eBird","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Tail.Length"
"34","Chlorocichla flaviventris",1.06916666666667,0.749999999999999,0.03,0.196666666666667,1.6225,62.9166666666667,5.1025,51.3333333333333
"35","Chlorocichla laetissima",4.59,1.50916666666667,0.0166666666666667,0.133333333333333,0.095833333333333,6.66666666666667,0.686666666666667,7.33333333333333
"36","Chlorocichla simplex",1.47666666666667,0.1625,0.0758333333333333,0.0700000000000001,1.6625,36.25,1.8625,15.3333333333333
"37","Criniger barbatus",0.26,0.782500000000001,0.1425,0.116666666666667,0.393333333333334,42.0625,0.475833333333334,17
"38","Criniger calurus",0.788888888888888,0.327666666666666,0.321777777777778,0.140444444444444,0.796555555555554,9.6,3.05333333333333,46.4555555555556
"39","Criniger chloronotus",0.189166666666667,0.570000000000001,0.0625000000000001,0.113333333333333,0.549166666666666,92,1.91583333333333,12.3333333333333
"40","Criniger ndussumensis",0.193333333333334,0.2825,0.0358333333333333,0.0299999999999999,1.39,11.6666666666667,0.3225,11.6666666666667
"41","Criniger olivaceus",0.109166666666666,0.353333333333333,0.116666666666667,0.0358333333333334,0.26,16.25,0.0158333333333334,26.9166666666667
"42","Eurillas ansorgei",0.702499999999999,0.153333333333333,0.0691666666666666,0.0225,0.262500000000001,8,2.80666666666667,16.25
"43","Eurillas curvirostris",0.576666666666666,0.449166666666667,0.02,0.0433333333333333,0.442499999999999,4.91666666666667,4.45333333333333,10.6666666666667
"44","Eurillas gracilis",0.2425,0.2625,0.01,0.0291666666666667,0.529166666666667,4.91666666666667,1.85666666666667,8.25
"45","Eurillas latirostris",0.683333333333333,0.536666666666666,0.0691666666666666,0.176666666666667,0.5425,17.0625,3.32916666666667,17.8958333333333
