Catalog #,Tissue #,Family - Full Name,Preparator #,Genus - Full Name,Species - Full Name,Country - Full Name,State - Full Name,County - Full Name,Locality,DecimalLatitude,DecimalLongitude,Collection Date,Preparations,Collection Object - Remarks,Collector (orig),Collectors - Last Name,Collectors - First Name,Collectors - Middle Initial,Specimen Attribute - Age,Age Category,Specimen Attribute - Bursa,Specimen Attribute - Fat,Specimen Attribute - Gonads,Specimen Attribute - Molt,Specimen Attribute - Sex,Skull Oss.
120888,29055,Pycnonotidae,CHO 1726,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/12/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,"ovary 5 x 3 mm, oviduct enlarged",no,f,100%
120889,29072,Pycnonotidae,CHO 1735,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/13/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,testes 2 x 1.5 mm,no,m,100%
120890,29085,Pycnonotidae,MJA 1077,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/14/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,testes 8 x 6 mm,no,m,100%
120891,29080,Pycnonotidae,MJA 1075,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/14/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,"ovary mass 10 x 4 mm, lg. ovum 2 mm",tail,f,100%
120892,29105,Pycnonotidae,MJA 1091,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 13.8 km northeast",-0.165,20.925,06/16/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,testes 2 x 1 mm,no,m,100%
120893,29089,Pycnonotidae,CHO 1740,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 13.8 km northeast",-0.165,20.925,06/15/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,ovary mass 6 x 3 mm,"light on neck, back",f,100%
120894,29092,Pycnonotidae,CHO 1741,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 13.8 km northeast",-0.165,20.925,06/15/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,ovary mass 5 x 2 mm,light on throat,f,100%
120895,29096,Pycnonotidae,CHO 1793,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 13.8 km northeast",-0.165,20.925,06/15/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,testes 7 x 5 mm,"wings, throat",m,100%
120897,29115,Pycnonotidae,CHO 1749,Baeopogon,clamans,Democratic Republic of the Congo,Equateur,,"Boende, 13.8 km northeast",-0.165,20.925,06/16/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,testes 3 x 2 mm,no,m,100%
120899,29110,Pycnonotidae,MJA 1095,Criniger,calurus,Democratic Republic of the Congo,Equateur,,"Boende, 13.8 km northeast",-0.165,20.925,06/16/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,"ovary mass 5 x 3 mm, smooth",no,f,100%
