Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Pycnonotus leucogenys_1938.7.15.846,Pycnonotidae,PASSERIFORMES,NA,1938.7.15.846,NHMUK,M,Bhagjunda,Nepal,18.82,9.32,3.86,4.43,20.89,90,13.82,76.18,NA,88,2,ER,1,1,0
Pycnonotus luteolus_86.9.1.2056,Pycnonotidae,PASSERIFORMES,7909,86.9.1.2056,NHMUK,M,-,-,18,NA,4.5,5.8,21.3,84,NA,NA,NA,79,1,GT,0,0,0
Pycnonotus luteolus_86.9.1.2056,Pycnonotidae,PASSERIFORMES,7909,86.9.1.2056,NHMUK,M,Madras,India,17.4,9.4,4.1,5.4,21.5,83,8.7,74.3,10.5,78,2,CV,1,0,0
Pycnonotus penicillatus_1940.12.3.41,Pycnonotidae,PASSERIFORMES,7905,1940.12.3.41,NHMUK,M,-,-,17.8,NA,4.1,5.3,21.9,NA,NA,NA,NA,82,1,GT,0,0,0
Pycnonotus penicillatus_1940.12.3.41,Pycnonotidae,PASSERIFORMES,7905,1940.12.3.41,NHMUK,M,"Ohiya, Ceylon",Sri Lanka,17.4,8.6,4,5,21.8,81,10.3,70.7,12.7,82,2,CV,1,0,0
Pycnonotus taivanus_1905.6.13.1,Pycnonotidae,PASSERIFORMES,7890,1905.6.13.1,NHMUK,M,-,-,17.3,NA,NA,5.2,17.9,85,NA,NA,NA,80,1,GT,0,0,0
Pycnonotus taivanus_1905.6.13.1,Pycnonotidae,PASSERIFORMES,7890,1905.6.13.1,NHMUK,M,"S. Cape, Formosa",Taiwan,16.2,8.3,4.3,5,20.5,85,15.2,69.8,17.9,76,2,CV,1,0,0
Pycnonotus tympanistrigus_52.5.12.17,Pycnonotidae,PASSERIFORMES,7886,52.5.12.17,NHMUK,F,-,-,14,NA,3.5,3.7,14.5,73,NA,NA,NA,71,1,GT,0,0,0
Pycnonotus tympanistrigus_52.5.12.17,Pycnonotidae,PASSERIFORMES,7886,52.5.12.17,NHMUK,F,Sumatra,Indonesia,13.2,6.8,3.2,3.5,13.9,74,11.6,62.4,15.7,70,2,CV,1,0,0
Pycnonotus xantholaemus_1949.Whi.1.14344,Pycnonotidae,PASSERIFORMES,7904,1949.Whi.1.14344,NHMUK,M,-,-,17.8,NA,3.7,5,21.2,90,NA,NA,NA,87,1,GT,0,0,0
Pycnonotus xantholaemus_1949.Whi.1.14344,Pycnonotidae,PASSERIFORMES,7904,1949.Whi.1.14344,NHMUK,M,"Thondebhavi, Mysore",India,17.2,8.7,3.8,4.8,18.7,91,10.8,80.2,11.9,88,2,CV,1,0,0
Rubigula flaviventris_86.9.1.2610,Pycnonotidae,PASSERIFORMES,7879,86.9.1.2610,NHMUK,F,"Manipur, Assam",India,15.3,7.8,3.5,4.4,14.7,86,13.9,72.1,16.2,85,1,CV,1,1,0
Rubigula flaviventris_86.9.1.2610,Pycnonotidae,PASSERIFORMES,7879,86.9.1.2610,NHMUK,F,Manipur,India,15.7,8.3,4.6,4.8,16.5,84,15.4,68.6,18.3,81.5,2,ECJ,1,1,0
Rubigula flaviventris_86.9.1.2611,Pycnonotidae,PASSERIFORMES,7879,86.9.1.2611,NHMUK,M,"Manipur, Assam",India,13.5,6.9,3.5,4.2,16.2,87,11.5,75.5,13.2,85,1,CV,1,1,0
Rubigula flaviventris_86.9.1.2611,Pycnonotidae,PASSERIFORMES,7879,86.9.1.2611,NHMUK,M,Manipur,India,13.7,8.2,4.1,4.1,12.2,83.5,9.6,73.9,11.5,80,2,ECJ,1,1,0
Setornis criniger_1900.2.15.97,Pycnonotidae,PASSERIFORMES,NA,1900.2.15.97,NHMUK,M,"Baklong,Sarawak",Malaysia,23.5,14.8,5.5,6.9,18.8,104,19,85,NA,83,1,PW,1,1,0
Setornis criniger_1900.2.15.97,Pycnonotidae,PASSERIFORMES,NA,1900.2.15.97,NHMUK,M,Baram District. Sarawak,Malaysia,23.16,14.86,5.12,6.46,19.27,96,18.69,77.31,NA,88,2,ER,1,1,0
Setornis criniger_75.8.16.8,Pycnonotidae,PASSERIFORMES,NA,75.8.16.8,NHMUK,M,"Sibu, Borneo",Malaysia,24.1,16.2,5.9,7.6,NA,100,16.5,83.5,NA,NA,1,RAB,1,1,0
Setornis criniger_75.8.16.8,Pycnonotidae,PASSERIFORMES,NA,75.8.16.8,NHMUK,M,NA,NA,24.3,NA,5.9,7.4,21.2,99,NA,NA,NA,85,2,GT,1,1,0
Setornis criniger_76.7.28.29,Pycnonotidae,PASSERIFORMES,NA,76.7.28.29,NHMUK,M,Bintulu,Malaysia,24,15.6,5.3,6.8,18.7,99,16.5,82.5,NA,81,1,PW,1,1,0
Setornis criniger_76.7.28.29,Pycnonotidae,PASSERIFORMES,NA,76.7.28.29,NHMUK,M,Bintulu,Malaysia,23.87,14.8,4.62,6.55,20.26,97,16.53,80.47,NA,86,2,ER,1,1,0
Thescelocichla leucopleura_1924.11.2.135,Pycnonotidae,PASSERIFORMES,7777,1924.11.2.135,NHMUK,M,-,-,23,NA,4.3,6,26.3,115,NA,NA,NA,114,1,GT,0,0,0
Thescelocichla leucopleura_1924.11.2.135,Pycnonotidae,PASSERIFORMES,7777,1924.11.2.135,NHMUK,M,Bitye,Cameroon,22.6,12.9,4.4,5.9,23.5,115,17.5,97.5,15.2,110,2,CV,1,0,0
